node,node_key,node_type,ngram_n,pan_n,pan_rate,selection_score,score_method
civil rights,2||civil|||rights,term,2,102,0.085427,252.906808,hybrid
federal agency,2||agency|||federal,term,2,38,0.031826,133.0,hybrid
affirmative action,2||action|||affirmative,term,2,33,0.027638,115.5,hybrid
high school,2||high|||school,term,2,33,0.027638,115.5,hybrid
labor department,2||department|||labor,term,2,72,0.060302,113.270051,hybrid
farm workers,2||farm|||workers,term,2,38,0.031826,110.856462,hybrid
higher education,2||education|||higher,term,2,30,0.025126,105.0,hybrid
bilingual bicultural,2||bicultural|||bilingual,term,2,29,0.024288,101.5,hybrid
legal defense,2||defense|||legal,term,2,36,0.030151,98.939801,hybrid
district court,2||court|||district,term,2,28,0.023451,98.0,hybrid
minority largest,2||largest|||minority,term,2,28,0.023451,98.0,hybrid
bilingual education,2||bilingual|||education,term,2,83,0.069514,96.39214,hybrid
small business,2||business|||small,term,2,27,0.022613,94.5,hybrid
minority language,2||language|||minority,term,2,26,0.021776,91.0,hybrid
training employment,2||employment|||training,term,2,25,0.020938,87.5,hybrid
minority women,2||minority|||women,term,2,25,0.020938,87.5,hybrid
urban housing,2||housing|||urban,term,2,24,0.020101,84.0,hybrid
mental health,2||health|||mental,term,2,35,0.029313,81.399919,hybrid
supreme court,2||court|||supreme,term,2,23,0.019263,80.5,hybrid
community development,2||community|||development,term,2,22,0.018425,77.0,hybrid
school district,2||district|||school,term,2,22,0.018425,77.0,hybrid
economic political,2||economic|||political,term,2,22,0.018425,77.0,hybrid
health care,2||care|||health,term,2,32,0.026801,73.196579,hybrid
criminal justice,2||criminal|||justice,term,2,26,0.021776,73.041987,hybrid
voting rights,2||rights|||voting,term,2,33,0.027638,69.939668,hybrid
civil commission,2||civil|||commission,term,2,19,0.015913,66.5,hybrid
labor force,2||force|||labor,term,2,19,0.015913,66.5,hybrid
public service,2||public|||service,term,2,19,0.015913,66.5,hybrid
justice department,2||department|||justice,term,2,43,0.036013,65.388006,hybrid
public affairs,2||affairs|||public,term,2,18,0.015075,63.0,hybrid
urban development,2||development|||urban,term,2,18,0.015075,63.0,hybrid
equal employment,2||employment|||equal,term,2,42,0.035176,62.75122,hybrid
business administration,2||administration|||business,term,2,17,0.014238,59.5,hybrid
public broadcast,2||broadcast|||public,term,2,17,0.014238,59.5,hybrid
civil service,2||civil|||service,term,2,17,0.014238,59.5,hybrid
community services,2||community|||services,term,2,17,0.014238,59.5,hybrid
defense educational,2||defense|||educational,term,2,17,0.014238,59.5,hybrid
graduate school,2||graduate|||school,term,2,17,0.014238,59.5,hybrid
minority members,2||members|||minority,term,2,17,0.014238,59.5,hybrid
social political,2||political|||social,term,2,16,0.0134,56.0,hybrid
education welfare,2||education|||welfare,term,2,37,0.030988,52.853639,hybrid
committee opportunity,2||committee|||opportunity,term,2,15,0.012563,52.5,hybrid
federal funds,2||federal|||funds,term,2,15,0.012563,52.5,hybrid
justice system,2||justice|||system,term,2,15,0.012563,52.5,hybrid
economic development,2||development|||economic,term,2,50,0.041876,50.964008,hybrid
health education,2||education|||health,term,2,49,0.041039,49.0,hybrid
business enterprise,2||business|||enterprise,term,2,14,0.011725,49.0,hybrid
school districts,2||districts|||school,term,2,14,0.011725,49.0,hybrid
social economic,2||economic|||social,term,2,48,0.040201,48.769962,hybrid
bicultural education,2||bicultural|||education,term,2,13,0.010888,45.5,hybrid
minority ethnic,2||ethnic|||minority,term,2,13,0.010888,45.5,hybrid
federal jobs,2||federal|||jobs,term,2,13,0.010888,45.5,hybrid
secretary labor,2||labor|||secretary,term,2,13,0.010888,45.5,hybrid
